Applied Statistics                &                     A          &                    4\\         
Technical Report Writing          &                     A-         &                    4\\         
Programming and Numerical Methods &                     B+         &                    2\\         
Computer Science I                &                     A          &                    4\\         
Electric Circuit Analysis I       &                     B          &                    5\\         
Classical Mechanics               &                     A          &                    4\\         
Modern Physics I                  &                     A-         &                    4\\         
Modern Physics II                 &                     A-         &                    4\\         
Vibrations and System Dynamics    &                     A          &                    4\\         
Fluid Mechanics                   &                     A          &                    4\\         
